# CRS: EPSG:4326 (WGS84 geographic)
# Reprojected: EPSG:5367 (CR05 / CRTM05) -> EPSG:4326 (WGS84 geographic)
# Geometry column: geometry
id,NOMBRE,CATEGORIA,HOJA,geometry
1,HACIENDA CIRUELAS,P1,MONTEVERDE,POINT(-85.345217 10.506184)
2,HACIENDA TAMARINDO,P1,TEMPISQUE,POINT(-85.260421 10.430819)
3,GUAYABO,P2,TALOLINGA,POINT(-85.421462 10.260192)
4,PUNTA DE PLANCHA,P2,MATAMBU,POINT(-85.255757 10.008298)
5,MIRAMAR,P2,CERRO AZUL,POINT(-85.497361 9.952929)
6,PLAYA LAGARTERITO,P1,BERRUGATE,POINT(-85.110844 10.082916)
7,ESPERANZA,P1,GOLFO,POINT(-84.993414 9.902808)
8,SAN RAFAEL,P2,VUELTAS,POINT(-83.971383 9.663016)
9,SANTA MARIA,C_c,VUELTAS,POINT(-83.968969 9.652428)
10,VAPOR,P2,VUELTAS,POINT(-83.986125 9.644033)
11,HIGUERONAL,P2,VUELTAS,POINT(-83.971827 9.642663)
12,COPEY,P2,VUELTAS,POINT(-83.917856 9.645732)
13,SALSIPUEDES,P1,VUELTAS,POINT(-83.847158 9.650119)
14,CEDRAL,P1,VUELTAS,POINT(-83.960197 9.625179)
15,FLORIDA,P2,VUELTAS,POINT(-83.925463 9.641833)
16,PEDREGOSO,P1,VUELTAS,POINT(-83.908454 9.627721)
17,DOS AMIGOS,P1,VUELTAS,POINT(-83.835399 9.625779)
18,GUARIA,P1,VUELTAS,POINT(-83.976201 9.603806)
19,SAN LUCAS,P1,VUELTAS,POINT(-83.951946 9.610114)
20,SAN CARLOS,P1,VUELTAS,POINT(-83.905137 9.606529)
21,QUEBRADOR,P1,VUELTAS,POINT(-83.791148 9.603612)
22,NARANJO,P2,VUELTAS,POINT(-83.955737 9.592412)
23,SAN JOAQUIN,P2,VUELTAS,POINT(-83.985431 9.584356)
24,PROVIDENCIA,P2,VUELTAS,POINT(-83.861490 9.557137)
25,CAMAQUIRI,P1,UNION,POINT(-82.996604 8.953289)
26,AGUA CALIENTE,P2,UNION,POINT(-82.935847 8.960181)
27,SANTA FE,P1,UNION,POINT(-82.986599 8.935669)
28,PALMIRA,P2,UNION,POINT(-82.902286 8.938392)
29,ALTURAS DE COTON,P2,UNION,POINT(-82.835694 8.939503)
